City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
150,praya,14.9215,-23.5087,81.14,69,75,5.75,CV,1659113028
151,starosubkhangulovo,53.1031,57.4423,58.93,95,92,2.82,RU,1659113028
152,taozhuang,34.85,117.3333,73.56,97,47,6.04,CN,1659113028
153,airai,-8.9266,125.4092,54.41,85,81,3.11,TL,1659113028
154,kimbe,-5.5502,150.1429,75.4,93,74,2.86,PG,1659113029
155,longyearbyen,78.2186,15.6401,48.04,71,75,2.3,SJ,1659113029
156,klaksvik,62.2266,-6.589,59.92,90,100,22.59,FO,1659113030
157,cheremisinovo,51.8855,37.2646,65.43,70,5,5.68,RU,1659113030
158,la paz,-16.5,-68.15,62.58,11,40,2.3,BO,1659112800
159,khatanga,71.9667,102.5,62.49,67,10,7.9,RU,1659113030
160,iqaluit,63.7506,-68.5145,49.73,71,100,3.44,CA,1659113030
161,katsuura,35.1333,140.3,79.81,89,18,13.06,JP,1659113031
162,linfen,36.0889,111.5189,78.62,67,0,3.09,CN,1659113031
163,fernandina beach,30.6697,-81.4626,93.0,66,40,8.05,US,1659113031
164,sao gabriel da cachoeira,-0.1303,-67.0892,85.8,70,40,3.44,BR,1659113032
165,tripoli,32.8752,13.1875,85.68,63,0,14.85,LY,1659112957
166,salinas,36.6777,-121.6555,68.81,77,100,6.91,US,1659113032
167,leningradskiy,69.3833,178.4167,39.02,85,60,5.21,RU,1659113032
168,tolbazy,54.0241,55.8825,62.28,80,100,5.39,RU,1659113032
169,cherskiy,68.75,161.3,46.36,73,17,10.31,RU,1659113033
170,asau,46.4333,26.4,70.72,87,86,3.89,RO,1659113033
171,allada,6.6655,2.1514,79.56,67,89,8.21,BJ,1659113033
172,norilsk,69.3535,88.2027,64.47,74,0,3.36,RU,1659113034
173,torbay,47.6666,-52.7314,67.87,78,75,6.91,CA,1659113034
174,victoria,22.2855,114.1577,89.33,83,100,8.01,HK,1659113034
175,lorengau,-2.0226,147.2712,81.37,74,35,11.81,PG,1659113035
176,port lincoln,-34.7333,135.8667,54.52,46,71,15.88,AU,1659113035
177,constitucion,-35.3333,-72.4167,57.74,54,67,8.7,CL,1659113035
178,culfa,38.9558,45.6308,93.02,39,0,12.12,AZ,1659113035
179,shagonar,51.5333,92.8,65.61,52,54,1.86,RU,1659113036
180,bembereke,10.2283,2.6634,72.41,91,97,5.35,BJ,1659113036
181,dubbo,-32.25,148.6167,35.73,93,22,11.5,AU,1659112835
182,nhulunbuy,-12.2333,136.7667,74.01,78,100,11.5,AU,1659113036
183,thompson,55.7435,-97.8558,66.36,82,75,11.5,CA,1659113037
184,nanyang,32.9947,112.5328,74.48,83,0,5.95,CN,1659113037
185,lhokseumawe,5.1801,97.1507,79.21,82,99,3.71,ID,1659113037
186,saldanha,-33.0117,17.9442,57.25,72,100,10.29,ZA,1659113038
187,shahr-e babak,30.1165,55.1186,67.41,79,96,16.06,IR,1659113038
188,denpasar,-8.65,115.2167,78.46,83,20,11.5,ID,1659113038
189,iralaya,15.0,-83.2333,84.34,68,2,10.74,HN,1659113039
190,chaman,30.9236,66.4512,89.46,43,45,6.26,PK,1659113039
191,hutchinson,38.0608,-97.9298,73.74,68,100,0.0,US,1659113039
192,clyde river,70.4692,-68.5914,43.03,87,100,13.8,CA,1659113039
193,praia da vitoria,38.7333,-27.0667,77.76,78,20,2.84,PT,1659113040
194,lagoa,39.05,-27.9833,72.48,72,0,1.77,PT,1659113040
195,naze,28.3667,129.4833,79.72,85,84,15.55,JP,1659113040
196,verkh-usugli,52.7,115.1667,53.4,95,38,1.81,RU,1659113041
197,bluefield,37.2698,-81.2223,80.51,75,75,11.5,US,1659112799
198,butaritari,3.0707,172.7902,81.48,75,6,12.86,KI,1659113041
199,saint anthony,45.0205,-93.218,75.24,60,75,11.5,US,1659113041
200,sabang,5.8933,95.3214,82.06,77,100,23.44,ID,1659113042
201,bemidji,47.4736,-94.8803,71.56,67,75,0.0,US,1659113042
202,lompoc,34.6391,-120.4579,71.92,81,40,3.44,US,1659113044
203,ribeira grande,38.5167,-28.7,77.4,65,20,6.91,PT,1659113045
204,miri,4.4148,114.0089,80.74,94,40,3.44,MY,1659113045
205,pangody,65.85,74.4859,65.82,58,43,5.95,RU,1659113046
206,straumen,63.8709,11.2999,68.0,60,100,1.86,NO,1659113046
207,mayo,38.8876,-76.5119,89.96,68,75,4.61,US,1659113046
208,coahuayana,18.7333,-103.6833,89.28,57,69,2.8,MX,1659113048
209,yeppoon,-23.1333,150.7333,55.18,75,74,7.43,AU,1659113048
210,groningen,53.25,6.75,75.27,43,100,6.91,NL,1659112805
211,atar,20.5169,-13.0499,100.22,26,3,10.11,MR,1659113048
212,cascavel,-24.9558,-53.4553,55.0,54,0,20.71,BR,1659112786
213,ginir,7.1333,40.7,65.97,52,79,8.5,ET,1659113049
214,oistins,13.0667,-59.5333,86.09,66,20,17.27,BB,1659113049
215,tasiilaq,65.6145,-37.6368,42.96,78,47,3.22,GL,1659113050
216,praia,14.9215,-23.5087,81.14,69,75,5.75,CV,1659113005
217,urumqi,43.801,87.6005,79.75,34,0,8.95,CN,1659113050
218,deer lake,49.1667,-57.4316,69.66,68,100,6.91,CA,1659113050
219,ingham,42.6,-84.3833,78.91,54,75,11.5,US,1659113051
220,wylie,33.0151,-96.5389,99.07,46,0,9.22,US,1659112885
221,port hardy,50.6996,-127.4199,59.18,94,20,2.3,CA,1659113051
222,slave lake,55.2834,-114.769,71.58,73,0,3.44,CA,1659113051
223,tisul,55.7611,88.3122,63.5,84,55,3.0,RU,1659113051
224,otane,-39.8833,176.6333,48.0,83,98,3.04,NZ,1659113052
225,moroeni,45.2167,25.4333,84.56,63,69,3.27,RO,1659113052
226,belmonte,-15.8631,-38.8828,79.29,58,11,10.09,BR,1659113052
227,pisco,-13.7,-76.2167,60.85,82,100,5.75,PE,1659113053
228,mezen,65.8522,44.24,59.11,93,47,11.63,RU,1659113053
229,big bend,-26.8167,31.9333,68.09,64,0,2.3,SZ,1659113053
230,ajdabiya,30.7554,20.2263,83.39,61,0,15.84,LY,1659113054
231,raduzhnyy,62.0961,77.475,67.46,67,98,7.4,RU,1659113054
232,bubaque,11.2833,-15.8333,79.5,78,65,17.78,GW,1659113054
233,tessalit,20.1986,1.0114,95.81,28,100,18.14,ML,1659113055
234,hasaki,35.7333,140.8333,77.29,91,31,7.31,JP,1659113055
235,kirkuk,35.4681,44.3922,99.52,7,0,6.96,IQ,1659113055
236,kushiro,42.975,144.3747,66.07,95,100,1.81,JP,1659113055
237,shenjiamen,29.9576,122.298,80.33,90,12,4.81,CN,1659113056
238,nelson bay,-32.7167,152.15,55.11,79,68,8.99,AU,1659113056
239,bijie,27.3125,105.2942,65.84,86,17,2.26,CN,1659112759
240,georgiyevka,43.0369,74.7114,77.04,47,40,6.71,KZ,1659113057
241,zima,53.9202,102.0442,60.78,78,100,2.21,RU,1659113057
242,bulawayo,-20.15,28.5833,58.17,24,0,7.36,ZW,1659113057
243,havre-saint-pierre,50.2334,-63.5986,59.36,100,100,14.97,CA,1659113058
244,rio grande,-32.035,-52.0986,57.31,74,96,18.23,BR,1659112878
245,sioux lookout,50.1001,-91.917,62.67,72,75,8.05,CA,1659113058
246,baykit,61.67,96.37,64.96,97,75,3.51,RU,1659113058
247,allanridge,-27.7543,26.6438,56.61,54,87,5.57,ZA,1659113059
